wav_filename,wav_filesize,transcript,tags,duration
processed-2/sample-40.wav,72078,включи свет,,2.25
processed-2/sample-39.wav,80078,включи свет,,2.5
processed-2/sample-42.wav,92078,включи свет,,2.875
processed-2/sample-44.wav,80078,включи свет,,2.5
processed-2/sample-43.wav,68078,включи свет,,2.125
processed-3/sample-2.wav,88078,почеши пятку,,2.75
processed-3/sample-1.wav,88078,почеши пятку,,2.75
processed-3/sample-0.wav,56078,почеши пятку,,1.75
processed-3/sample-5.wav,56078,почеши пятку,,1.75
processed-3/sample-4.wav,72078,почеши пятку,,2.25
processed-3/sample-3.wav,80078,почеши пятку,,2.5
processed-3/sample-6.wav,88078,почеши пятку,,2.75
processed-3/sample-7.wav,88078,почеши пятку,,2.75
processed-3/sample-9.wav,72078,почеши пятку,,2.25
processed-3/sample-8.wav,80078,почеши пятку,,2.5
processed-3/sample-10.wav,56078,почеши пятку,,1.75
processed-3/sample-13.wav,80078,почеши пятку,,2.5
processed-3/sample-11.wav,88078,почеши пятку,,2.75
processed-3/sample-12.wav,88078,почеши пятку,,2.75
processed-3/sample-14.wav,72078,почеши пятку,,2.25
processed-3/sample-15.wav,56078,почеши пятку,,1.75
processed-3/sample-16.wav,88078,почеши пятку,,2.75
processed-3/sample-17.wav,88078,почеши пятку,,2.75
processed-3/sample-19.wav,72078,почеши пятку,,2.25
processed-3/sample-18.wav,80078,почеши пятку,,2.5
processed-3/sample-20.wav,56078,почеши пятку,,1.75
processed-3/sample-21.wav,88078,почеши пятку,,2.75
processed-3/sample-24.wav,72078,почеши пятку,,2.25
processed-3/sample-23.wav,80078,почеши пятку,,2.5
processed-3/sample-22.wav,88078,почеши пятку,,2.75
processed-3/sample-25.wav,56078,почеши пятку,,1.75
processed-3/sample-26.wav,88078,почеши пятку,,2.75
processed-3/sample-27.wav,88078,почеши пятку,,2.75
processed-3/sample-28.wav,80078,почеши пятку,,2.5
processed-3/sample-29.wav,72078,почеши пятку,,2.25
processed-3/sample-30.wav,56078,почеши пятку,,1.75
processed-3/sample-32.wav,88078,почеши пятку,,2.75
processed-3/sample-31.wav,88078,почеши пятку,,2.75
processed-3/sample-33.wav,80078,почеши пятку,,2.5
processed-3/sample-34.wav,72078,почеши пятку,,2.25
processed-3/sample-35.wav,56078,почеши пятку,,1.75
processed-3/sample-36.wav,88078,почеши пятку,,2.75
processed-3/sample-37.wav,88078,почеши пятку,,2.75
processed-3/sample-38.wav,80078,почеши пятку,,2.5
processed-3/sample-39.wav,72078,почеши пятку,,2.25
processed-3/sample-44.wav,72078,почеши пятку,,2.25
processed-3/sample-45.wav,56078,почеши пятку,,1.75
processed-3/sample-47.wav,88078,почеши пятку,,2.75
processed-2/sample-47.wav,92078,включи свет,,2.875
processed-2/sample-48.wav,68078,включи свет,,2.125
processed-2/sample-49.wav,80078,включи свет,,2.5
processed/sample-47.wav,68078,открой окно,,2.125
processed/sample-45.wav,60078,открой окно,,1.875
processed/sample-46.wav,72078,открой окно,,2.25
processed/sample-48.wav,76078,открой окно,,2.375
processed/sample-49.wav,72078,открой окно,,2.25
processed/sample-34.wav,60078,открой окно,,1.875
processed/sample-36.wav,68078,открой окно,,2.125
processed/sample-39.wav,68078,открой окно,,2.125
processed/sample-38.wav,72078,открой окно,,2.25
processed/sample-41.wav,76078,открой окно,,2.375
processed/sample-42.wav,76078,открой окно,,2.375
processed/sample-43.wav,76078,открой окно,,2.375
processed-2/sample-18.wav,68078,включи свет,,2.125
processed-2/sample-19.wav,80078,включи свет,,2.5
processed-2/sample-17.wav,92078,включи свет,,2.875
processed-2/sample-20.wav,72078,включи свет,,2.25
processed-3/sample-40.wav,56078,почеши пятку,,1.75
processed-3/sample-43.wav,80078,почеши пятку,,2.5
processed-3/sample-42.wav,88078,почеши пятку,,2.75
